ตาราง 17.3 นักท่องเที่ยวชาวต่างชาติที่เข้ามาประเทศไทย จำแนกตามสัญชาติ พ.ศ. 2564 - 2566,,,,,,,,,,
Table 17.3 International Tourist Arrivals to Thailand by Nationality: 2021 - 2023,,,,,,,,,,
,,,,,,,,,,
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,,40608,1337755,7577650,3194.3,466.4,Asia and the Pacific,North-East Asia,
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,ญี่ปุ่น,9461,288342,805768,2947.7,179.4,Asia and the Pacific,North-East Asia,Japan
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,เกาหลี,12077,531687,1660047,4302.5,212.2,Asia and the Pacific,North-East Asia,Korea
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,จีน,13043,258586,3521095,1882.6,1261.7,Asia and the Pacific,North-East Asia,China 
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,ไต้หวัน,1675,89655,724594,5252.5,708.2,Asia and the Pacific,North-East Asia,"Taiwan, China"
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,ฮ่องกง,1657,157176,802368,9385.6,410.5,Asia and the Pacific,North-East Asia,"Hong Kong, China"
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงเหนือ,อื่น ๆ,2695,12309,63778,356.7,418.1,Asia and the Pacific,North-East Asia,Others
เอเชียและแปซิฟิก,เอเชียใต้,,12278,1178137,1998790,9495.5,69.7,Asia and the Pacific,South Asia,
เอเชียและแปซิฟิก,เอเชียใต้,อินเดีย,6544,980281,1628542,14879.8,66.1,Asia and the Pacific,South Asia,India
เอเชียและแปซิฟิก,เอเชียใต้,ปากีสถาน,1182,48224,66129,3979.9,37.1,Asia and the Pacific,South Asia,Pakistan
เอเชียและแปซิฟิก,เอเชียใต้,อื่น ๆ,4552,149632,304119,3187.2,103.2,Asia and the Pacific,South Asia,Others
เอเชียและแปซิฟิก,ประเทศอื่นๆ ในเอเซีย,,-,350,859,100.0,145.4,Asia and the Pacific,Other in Asia,
เอเชียและแปซิฟิก,โอเชียเนีย,,10851,367784,778179,3289.4,111.6,Asia and the Pacific,Oceania,
เอเชียและแปซิฟิก,โอเชียเนีย,ออสเตรเลีย,9577,330597,687745,3352.0,108.0,Asia and the Pacific,Oceania,Australia
เอเชียและแปซิฟิก,โอเชียเนีย,อื่น ๆ,1274,37187,90434,2818.9,143.2,Asia and the Pacific,Oceania,Others
ยุโรป,,,264986,2641076,5962231,896.7,125.8,Europe,,
ยุโรป,ยุโรปเหนือ,,76139,711394,1342653,834.3,88.7,Europe,Northern Europe,
ยุโรป,ยุโรปเหนือ,สหราชอาณาจักร,38663,434333,817220,1023.4,88.2,Europe,Northern Europe,United Kingdom
ยุโรป,ยุโรปเหนือ,สวีเดน,17094,94851,178259,454.9,87.9,Europe,Northern Europe,Sweden
ยุโรป,ยุโรปเหนือ,เดนมาร์ก,8480,62958,115224,642.4,83.0,Europe,Northern Europe,Denmark
ยุโรป,ยุโรปเหนือ,อื่น ๆ,11902,119252,231950,901.9,94.5,Europe,Northern Europe,Others
ยุโรป,ยุโรปตะวันตก,,100175,900293,1838848,798.7,104.2,Europe,Western Europe,
ยุโรป,ยุโรปตะวันตก,เยอรมนี,45874,356889,729163,678.0,104.3,Europe,Western Europe,Germany
ยุโรป,ยุโรปตะวันตก,ฝรั่งเศส,23461,260223,545003,1009.2,109.4,Europe,Western Europe,France
ยุโรป,ยุโรปตะวันตก,เนเธอร์แลนด์,8539,113566,229539,1230.0,102.1,Europe,Western Europe,Netherlands
ยุโรป,ยุโรปตะวันตก,สวิตเซอร์แลนด์,11429,78507,156337,586.9,99.1,Europe,Western Europe,Switzerland
ยุโรป,ยุโรปตะวันตก,อื่น ๆ,10872,91108,178806,738.0,96.3,Europe,Western Europe,Others
ยุโรป,ยุโรปกลาง/ยุโรปตะวันออก,,57806,649786,2050885,1024.1,215.6,Europe,Central/Eastern Europe,
ยุโรป,ยุโรปกลาง/ยุโรปตะวันออก,รัสเซีย,30759,429359,1482611,1295.9,245.3,Europe,Central/Eastern Europe,Russian Federation
ยุโรป,ยุโรปกลาง/ยุโรปตะวันออก,อื่น ๆ,27047,220427,568274,715.0,157.8,Europe,Central/Eastern Europe,Others
ยุโรป,ยุโรปใต้,,22874,373862,715642,1534.4,91.4,Europe,Southern/Medit. Europe,
ยุโรป,ยุโรปใต้,อิตาลี,5322,82225,191983,1445.0,133.5,Europe,Southern/Medit. Europe,Italy
ยุโรป,ยุโรปใต้,อิสราเอล,14038,145107,217084,933.7,49.6,Europe,Southern/Medit. Europe,Israel
ยุโรป,ยุโรปใต้,อื่น ๆ,3514,146530,306575,4069.9,109.2,Europe,Southern/Medit. Europe,Others
ยุโรป,ประเทศอื่นๆ ในยุโรป,,7992,5741,14203,-28.2,147.4,Europe,Other in Europe,
อเมริกา,,,47395,586153,1287461,1136.7,119.6,The Americas,,
อเมริกา,,สหรัฐอเมริกา,37880,437409,930206,1054.7,112.7,The Americas,,United States
อเมริกา,,แคนาดา,6440,87832,214264,1263.9,143.9,The Americas,,Canada
อเมริกา,,อื่น ๆ,3075,60912,142991,1880.9,134.8,The Americas,,Others
ตะวันออกกลาง,,,15656,302088,600499,1829.5,98.8,Middle East,,
ตะวันออกกลาง,,ซาอุดีอาระเบีย,467,96158,178113,20490.6,85.2,Middle East,,Saudi Arabia
ตะวันออกกลาง,,คูเวต,3733,44334,79255,1087.6,78.8,Middle East,,Kuwait
ตะวันออกกลาง,,อื่น ๆ,11456,161596,343131,1310.6,112.3,Middle East,,Others
แอฟริกา,,,3275,63603,122067,1842.1,91.9,Africa,,
,,,,,,,,,,
หมายเหตุ: ,1. จำนวนนักท่องเที่ยวไม่รวมคนไทยที่มีถิ่นที่อยู่ต่างประเทศ,,,,,,,,,
,2. ข้อมูล ณ วันที่ 19 มกราคม 2566,,,,,,,,,
Note: ,1. Number of tourists excluding Thai nationals residing in foreign country,,,,,,,,,
,2. Data as of 19 January 2023,,,,,,,,,
ที่มา: กระทรวงการท่องเที่ยวและกีฬา,,,,,,,,,,
Source: Ministry of Tourism and Sports,,,,,,,,,,
