ตาราง 21.12 ปริมาณฝน จำแนกตามสถานีตรวจอากาศ พ.ศ. 2564 - 2566,,,,,,,,,
Table 21.12 Annual Rainfall Data by Meteorological Station: 2021 - 2023,,,,,,,,,
,,,,,,,,,
ภาค,สถานีตรวจอากาศ,2564 (2021)_จำนวนวันที่ฝนตก (No. of rainy day),2564 (2021)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2565 (2022)_จำนวนวันที่ฝนตก (No. of rainy day),2565 (2022)ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2566 (2023)_จำนวนวันที่ฝนตก (No. of rainy day),2566 (2023)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),Region,Meteorological station
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,104,1296.6,117,1663.5,91,1453.6,Northeastern Part,Roi Et
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด (สกษ),101,1284.4,122,1656.7,96,1538.4,Northeastern Part,Roi Et Aromet.
ภาคตะวันออกเฉียงเหนือ,ยโสธร,100,1568.7,119,1795.3,91,1488.7,Northeastern Part,Yasothon
ภาคตะวันออกเฉียงเหนือ,เลย,112,1506.0,130,1627.4,111,1226.1,Northeastern Part,Loei
ภาคตะวันออกเฉียงเหนือ,เลย (สกษ),115,1630.6,130,1625.3,117,1089.5,Northeastern Part,Loei Aromet.
ภาคตะวันออกเฉียงเหนือ,สกลนคร,115,1428.7,137,1204.9,117,1964.5,Northeastern Part,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,สกลนคร (สกษ),112,1523.4,135,1653.0,102,1628.9,Northeastern Part,Sakon Nakhon Aromet.
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,122,1527.1,133,2256.2,109,1424.7,Northeastern Part,Surin
ภาคตะวันออกเฉียงเหนือ,สุรินทร์ (สกษ),117,1404.4,134,2075.7,112,1357.5,Northeastern Part,Surin Aromet.
ภาคตะวันออกเฉียงเหนือ,ท่าตูม,78,1208.2,109,1191.2,90,1018.0,Northeastern Part,Tha Tum
ภาคตะวันออกเฉียงเหนือ,หนองคาย,114,1666.6,126,2086.4,104,1616.4,Northeastern Part,Nong Khai
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,103,1215.4,133,2109.0,108,1181.6,Northeastern Part,Burirum
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,112,1236.4,123,1448.4,113,1249.9,Northeastern Part,Udon Thani
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ (สกษ),119,1381.9,120,1688.6,118,1585.3,Northeastern Part,Si Saket Agromet.
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,112,1758.3,144,2450.5,117,2203.5,Northeastern Part,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี (สกษ),110,1493.8,135,2249.2,119,1859.6,Northeastern Part,Ubon Ratchathani Agromet.
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,117,1272.1,127,1385.8,108,1261.1,Northeastern Part,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,128,2531.1,151,2768.8,136,3697.3,Northeastern Part,Bueng Kan
ภาคใต้ฝั่งตะวันออก,ชุมพร,175,2061.9,176,2658.4,142,1598.8,"Southern Part, East Coast",Chumphon
ภาคใต้ฝั่งตะวันออก,สวี (สกษ),169,2407.6,183,2570.0,144,1688.9,"Southern Part, East Coast",Sawi Agromet.
ภาคใต้ฝั่งตะวันออก,สุราษฎร์ธานี,181,1394.6,176,1849.7,155,1444.5,"Southern Part, East Coast",Surat Thani
ภาคใต้ฝั่งตะวันออก,สุราษฎร์ธานี (สกษ) ,159,1974.4,190,2414.8,173,1768.1,"Southern Part, East Coast",Surat Thani Agromet.
ภาคใต้ฝั่งตะวันออก,ประจวบคีรีขันธ์,135,967.5,125,1811.2,92,584.9,"Southern Part, East Coast",Prachuap Khiri Khan
ภาคใต้ฝั่งตะวันออก,หัวหิน,108,1053.7,107,1213.8,82,451.7,"Southern Part, East Coast",Hua Hin
ภาคใต้ฝั่งตะวันออก,หนองพลับ (สกษ),150,1463.6,128,1383.4,106,633.5,"Southern Part, East Coast",Nong Phlub Agromet.
ภาคใต้ฝั่งตะวันออก,เพชรบุรี,114,1042.4,123,1132.5,81,452.4,"Southern Part, East Coast",Phetchaburi
ภาคใต้ฝั่งตะวันออก,นครศรีธรรมราช,193,2718.4,190,3520.7,178,2750.0,"Southern Part, East Coast",Nakhon Si Thammarat
ภาคใต้ฝั่งตะวันออก,นครศรีธรรมราช (สกษ),190,2719.1,186,3338.2,174,2516.8,"Southern Part, East Coast",Nakhon Si Thammarat Agromet.
ภาคใต้ฝั่งตะวันออก,ฉวาง,199,1986.5,200,2132.2,193,2203.0,"Southern Part, East Coast",Chawang
ภาคใต้ฝั่งตะวันออก,พัทลุง (สกษ),172,2019.6,204,3433.3,173,2335.9,"Southern Part, East Coast",Phatthalung Agromet.
ภาคใต้ฝั่งตะวันออก,คอหงส์ (สกษ),163,2281.0,188,3188.9,175,2536.9,"Southern Part, East Coast",Kho Hong Agromet.
ภาคใต้ฝั่งตะวันออก,สะเดา,147,1923.7,185,2086.9,157,1612.9,"Southern Part, East Coast",Sa Dao
ภาคใต้ฝั่งตะวันออก,ยะลา (สกษ),173,2559.6,200,3050.9,172,2920.5,"Southern Part, East Coast",Yala Agromet.
ภาคใต้ฝั่งตะวันออก,นราธิวาส,165,2296.4,198,4194.8,168,3433.4,"Southern Part, East Coast",Narathiwat
ภาคใต้ฝั่งตะวันออก,ท่าอากาศยานปัตตานี,141,1603.5,167,2886.9,158,2499.8,"Southern Part, East Coast",Pattani Airport
