ตาราง  21.11  อุตุนิยมสังเขป จำแนกตามสถานีตรวจอากาศ พ.ศ. 2565 - 2566,,,,,,,,,,,,,,
Table 21.11 Summary of Meteorology by Meteorological Station: 2022 - 2023,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ภาค,สถานีตรวจอากาศ,ความสูงของสถานีเหนือระดับน้ำทะเลปานกลาง (เมตร) (Elevation of station above mean sea-leve (Metre)),2565 (2022)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius))   ,2565 (2022)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)),2565 (2022)_อุณหภูมิเฉลี่ยต่ำสุด(องศาเซลเซียส) (Temperature Mean minimum (Degrees Celsius)),2565 (2022)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2565 (2022)_ความชื้นสัมพัทธ์ เฉลี่ย (Mean relative humidity %),2566 (2023)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius)),2566 (2023)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)) ,2566 (2023)_อุณหภูมิเฉลี่ยต่ำสุด (Temperature Mean minimum (Degrees Celsius)),2566 (2023)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2566 (2023)_ความชื้นสัมพัทธ์เฉลี่ย (Mean relative humidity %),Region,Meteorological station
ภาคเหนือ,เชียงราย,390,31.5,25.7,21.3,1008.72,75.4,32.4,25.9,21.3,1009.24,72.9,Northern Part,Chiang Rai
ภาคเหนือ,เชียงราย (สกษ),403,31.6,25.0,19.8,1008.68,80.1,32.4,25.6,20.5,1009.28,76.3,Northern Part,Chiang Rai Agromet.
ภาคเหนือ,เชียงใหม่,313,33.2,27.0,22.5,1008.83,71.4,34.2,27.5,22.8,1009.27,69.0,Northern Part,Chiang Mai
ภาคเหนือ,ดอยอ่างขาง,1529,22.7,19.4,15.1,1008.33,81.2,23.4,20.1,16.0,1009.21,78.0,Northern Part,Doi Ang Kang
ภาคเหนือ,ตาก,126,33.8,27.7,23.4,1009.10,73.7,34.7,28.4,23.8,1009.75,70.1,Northern Part,Tak
ภาคเหนือ,อุ้มผาง,454,31.3,24.3,17.8,1008.77,79.5,31.9,24.7,19.1,1009.58,78.1,Northern Part,Umphang
ภาคเหนือ,แม่สอด,196,33.4,26.7,21.6,1007.42,74.1,33.8,27.0,21.8,1008.29,72.9,Northern Part,Mae Sot
ภาคเหนือ,เขื่อนภูมิพล,144,33.2,27.4,23.1,1008.55,73.6,34.1,28.1,23.6,1009.16,67.6,Northern Part,Bhumibol Dam
ภาคเหนือ,ดอยมูเซอ (สกษ),863,26.5,21.6,18.2,1009.67,83.8,27.2,22.0,18.4,1010.47,81.0,Northern Part,Doi Mu Soe Agromet.
ภาคเหนือ,น่าน,200,33.4,26.9,22.0,1008.93,77.2,34.4,27.5,22.2,1009.42,74.6,Northern Part,Nan
ภาคเหนือ,น่าน (สกษ),264,32.0,25.7,21.1,1009.08,78.6,33.3,26.3,21.2,1009.56,75.0,Northern Part,Nan Agromet.
ภาคเหนือ,ท่าวังผา,235,33.1,26.3,21.6,1009.53,79.0,34.0,26.8,21.1,1010.03,76.5,Northern Part,Tha Wang Pha
ภาคเหนือ,ทุ่งช้าง,333,31.8,25.2,20.5,1009.46,81.6,32.8,25.6,20.4,1009.94,78.6,Northern Part,Thung Chang
ภาคเหนือ,พะเยา,397,32.4,26.2,21.3,1008.97,76.7,33.1,26.6,21.6,1009.52,72.8,Northern Part,Phayao
ภาคเหนือ,พิษณุโลก,44,33.5,27.9,23.1,1008.87,76.7,34.3,28.4,23.4,1009.53,74.3,Northern Part,Phitsanulok
ภาคเหนือ,เพชรบูรณ์,114,34.3,27.6,22.9,1007.51,75.7,35.4,28.3,23.5,1008.12,72.9,Northern Part,Phetchabun
ภาคเหนือ,หล่มสัก,143,33.8,27.3,22.8,1009.28,73.9,34.5,27.9,23.2,1009.79,70.2,Northern Part,Lom Sak
ภาคเหนือ,วิเชียรบุรี,68,33.7,27.8,23.5,1008.67,72.6,34.9,28.8,23.9,1009.26,69.0,Northern Part,Wichian Buri
ภาคเหนือ,แพร่,162,33.6,27.1,21.8,1008.47,74.7,34.6,27.7,22.7,1009.02,71.2,Northern Part,Phrae
ภาคเหนือ,แม่ฮ่องสอน,265,33.3,26.5,21.5,1008.87,74.5,33.9,27.1,21.5,1009.47,72.4,Northern Part,Mae Hong Son
ภาคเหนือ,แม่สะเรียง,211,33.8,26.2,21.0,1009.10,79.3,34.0,26.5,21.4,1009.81,77.5,Northern Part,Mae Sariang
ภาคเหนือ,สุโขทัย,48,33.7,28.2,23.7,1008.22,78.7,34.8,28.7,23.8,1008.60,73.9,Northern Part,Sukhothai
ภาคเหนือ,ศรีสำโรง (สกษ),54,33.3,27.7,23.7,1008.56,80.8,34.2,28.4,24.1,1009.16,75.9,Northern Part,Si Samrong Agromet.
ภาคเหนือ,ลำปาง,242,34.1,27.2,22.3,1009.07,74.9,35.2,27.8,22.5,1009.52,73.2,Northern Part,Lampang
ภาคเหนือ,ลำปาง (สกษ),315,32.0,26.0,21.6,1008.54,80.2,33.2,26.6,21.7,1009.13,76.5,Northern Part,Lampang Agromet.
ภาคเหนือ,เถิน,191,34.0,26.8,21.5,1008.72,78.1,34.9,27.5,21.2,1009.35,72.6,Northern Part,Thoen
ภาคเหนือ,ลำพูน,296,33.5,26.9,22.4,1008.53,74.6,34.4,27.4,22.5,1009.18,70.6,Northern Part,Lamphun
ภาคเหนือ,อุตรดิตถ์,63,34.4,28.1,23.9,1008.61,72.7,35.4,28.8,24.3,1009.14,69.3,Northern Part,Uttaradit
ภาคเหนือ,อุทัยธานี,26,34.2,28.5,24.2,1008.63,76.4,35.1,29.3,23.9,1009.65,70.5,Northern Part,Uthaithani
ภาคตะวันออกเฉียงเหนือ,รวม,,32.3,26.6,22.3,1009.20,75.8,33.3,27.5,23.0,1009.72,73.3,Northeastern Part,Tatal
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,187,32.2,26.8,22.7,1009.24,72.1,33.3,27.7,23.2,1009.88,69.4,Northeastern Part,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,ท่าผา (สกษ),166,32.6,26.7,22.3,1009.16,77.4,33.5,27.6,22.9,1009.66,75.5,Northeastern Part,Tha Phra Aromet.
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,182,32.7,27.3,22.7,1008.88,71.5,33.6,28.2,23.8,1009.41,67.1,Northeastern Part,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,นครพนม,145,31.9,26.5,22.2,1009.90,71.5,32.5,27.3,23.0,1010.46,71.2,Northeastern Part,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,นครพนม (สกษ),153,31.5,25.6,20.8,1010.30,76.4,32.1,26.1,21.2,1010.58,76.7,Northeastern Part,Nakhon Phanom Aromet.
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,187,32.7,27.4,23.4,1009.13,72.9,34.2,28.5,24.0,1009.63,68.5,Northeastern Part,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,ปากช่อง (สกษ),386,30.6,25.4,21.4,1009.34,76.7,31.8,26.4,22.2,1009.83,71.1,Northeastern Part,Pakchong Aromet.
ภาคตะวันออกเฉียงเหนือ,โชคชัย,190,32.8,27.2,22.9,1009.15,75.0,33.9,28.1,23.5,1009.67,71.7,Northeastern Part,Chok Chai
ภาคตะวันออกเฉียงเหนือ,นางรอง,179,32.6,26.7,22.6,1008.96,78.8,33.9,27.7,23.3,1009.63,76.1,Northeastern Part,Nang Rong
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,138,32.6,26.6,22.5,1008.97,75.1,33.5,27.6,23.4,1009.37,72.6,Northeastern Part,Mukdahan
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,153,32.9,27.4,22.8,1009.07,73.5,33.8,28.1,23.5,1009.73,71.4,Northeastern Part,Mahasarakham
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,139,32.3,26.7,21.9,1009.02,78.1,33.3,27.7,22.9,1009.53,76.2,Northeastern Part,Kalasin
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,174,31.4,25.9,22.0,1009.19,78.6,32.2,26.8,22.9,1009.71,76.6,Northeastern Part,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,140,32.6,27.2,23.0,1008.72,73.9,33.6,28.1,23.8,1009.19,71.4,Northeastern Part,Roi Et
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด (สกษ),153,31.8,26.5,22.1,1008.86,76.2,32.7,27.4,22.9,1009.41,73.6,Northeastern Part,Roi Et Aromet.
ภาคตะวันออกเฉียงเหนือ,ยโสธร,142,32.2,26.6,22.4,1009.01,77.7,32.9,27.5,23.4,1009.57,75.4,Northeastern Part,Yasothon
ภาคตะวันออกเฉียงเหนือ,เลย,253,32.3,26.0,20.9,1009.24,77.8,33.7,26.8,21.2,1009.63,75.7,Northeastern Part,Loei
ภาคตะวันออกเฉียงเหนือ,เลย (สกษ),260,32.3,25.5,20.8,1008.68,82.0,33.7,26.3,21.2,1009.13,77.6,Northeastern Part,Loei Aromet.
ภาคตะวันออกเฉียงเหนือ,สกลนคร,171,31.8,26.3,22.1,1009.13,76.1,32.8,27.2,22.8,1009.57,75.0,Northeastern Part,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,สกลนคร (สกษ),192,31.9,25.7,21.5,1009.78,78.3,32.9,26.8,22.3,1010.21,75.4,Northeastern Part,Sakon Nakhon Aromet.
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,146,32.6,27.2,22.7,1009.25,74.7,33.8,28.1,23.3,1009.87,72.4,Northeastern Part,Surin
ภาคตะวันออกเฉียงเหนือ,สุรินทร์ (สกษ),143,33.0,26.8,22.5,1009.58,77.6,34.0,27.6,23.1,1010.22,75.0,Northeastern Part,Surin Aromet.
ภาคตะวันออกเฉียงเหนือ,ท่าตูม,128,32.0,27.0,22.8,1009.53,74.5,33.0,27.7,23.4,1010.02,72.0,Northeastern Part,Tha Tum
ภาคตะวันออกเฉียงเหนือ,หนองคาย,173,32.3,27.1,22.6,1009.05,73.4,33.5,28.1,23.3,1009.48,70.8,Northeastern Part,Nong Khai
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,182,31.9,26.6,22.6,1009.54,75.6,33.1,27.2,23.0,1010.13,71.5,Northeastern Part,Burirum
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,177,32.7,26.9,22.5,1009.32,74.1,33.9,27.8,23.1,1009.74,71.5,Northeastern Part,Udon Thani
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ (สกษ),123,32.6,27.2,23.3,1009.10,74.7,33.4,27.9,23.8,1009.72,73.3,Northeastern Part,Si Saket Agromet.
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,122,32.9,27.2,22.9,1009.18,73.6,33.7,28.0,23.7,1009.94,74.4,Northeastern Part,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี (สกษ),130,33.0,26.8,22.3,1009.47,77.7,33.9,27.5,22.8,1009.88,73.8,Northeastern Part,Ubon Ratchathani Agromet.
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,227,32.3,26.5,22.2,1008.46,76.3,33.4,27.4,22.8,1008.80,73.2,Northeastern Part,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,160,31.6,26.0,21.8,1009.13,78.1,32.9,26.8,22.1,1009.75,76.2,Northeastern Part,Bueng Kan
ภาคใต้ฝั่งตะวันออก,รวม,,32.2,27.4,24.0,1009.13,82.3,33.0,27.9,24.2,1010.05,80.0,"Southern Part, East Coast",Tatal
ภาคใต้ฝั่งตะวันออก,ชุมพร,4,31.9,27.3,24.1,1009.13,82.6,32.8,28.1,24.5,1010.03,79.2,"Southern Part, East Coast",Chumphon
ภาคใต้ฝั่งตะวันออก,สวี (สกษ),13,31.7,27.0,23.8,1009.21,83.2,32.7,27.6,23.9,1010.08,81.0,"Southern Part, East Coast",Sawi Agromet.
ภาคใต้ฝั่งตะวันออก,สุราษฎร์ธานี ,5,32.7,27.0,23.7,1009.27,84.8,33.3,27.4,23.8,1010.21,82.0,"Southern Part, East Coast",Surat Thani 
ภาคใต้ฝั่งตะวันออก,สุราษฎร์ธานี (สกษ) ,35,32.3,27.0,23.5,1010.82,85.1,33.0,27.5,23.8,1011.68,83.3,"Southern Part, East Coast",Surat Thani Agromet.
ภาคใต้ฝั่งตะวันออก,ประจวบคีรีขันธ์,4,32.7,27.9,24.1,1009.09,79.1,34.0,28.8,24.9,1009.89,73.6,"Southern Part, East Coast",Prachuap Khiri Khan
ภาคใต้ฝั่งตะวันออก,หัวหิน,5,31.8,28.2,25.1,1008.79,75.6,33.0,29.0,25.6,1009.61,70.3,"Southern Part, East Coast",Hua Hin
ภาคใต้ฝั่งตะวันออก,หนองพลับ (สกษ),106,32.3,26.8,22.7,1009.07,79.0,34.0,27.7,23.0,1009.81,73.1,"Southern Part, East Coast",Nong Phlub Agromet.
ภาคใต้ฝั่งตะวันออก,เพชรบุรี,2,31.8,28.1,23.9,1008.90,78.0,32.7,28.9,24.6,1009.68,74.5,"Southern Part, East Coast",Phetchaburi
ภาคใต้ฝั่งตะวันออก,นครศรีธรรมราช,4,32.2,27.4,24.1,1008.91,84.6,32.9,27.8,24.3,1009.88,82.6,"Southern Part, East Coast",Nakhon Si Thammarat
ภาคใต้ฝั่งตะวันออก,นครศรีธรรมราช (สกษ),2,32.2,27.3,24.2,1008.96,86.4,33.2,27.8,24.2,1009.91,85.2,"Southern Part, East Coast",Nakhon Si Thammarat Agromet.
ภาคใต้ฝั่งตะวันออก,ฉวาง,28,32.7,27.1,23.7,1009.11,85.2,33.1,27.4,23.8,1009.94,84.0,"Southern Part, East Coast",Chawang
ภาคใต้ฝั่งตะวันออก,พัทลุง (สกษ),2,32.1,27.3,24.6,1008.99,85.7,32.7,27.8,24.8,1009.96,83.6,"Southern Part, East Coast",Phatthalung Agromet.
ภาคใต้ฝั่งตะวันออก,คอหงส์ (สกษ),7,32.1,27.7,24.4,1008.98,81.1,32.7,28.0,24.5,1009.95,80.2,"Southern Part, East Coast",Kho Hong Agromet.
ภาคใต้ฝั่งตะวันออก,สะเดา,25,32.7,27.3,23.4,1008.96,84.6,33.2,27.7,23.4,1009.98,82.9,"Southern Part, East Coast",Sa Dao
ภาคใต้ฝั่งตะวันออก,ยะลา (สกษ),30,32.7,27.1,23.6,1009.51,82.4,33.2,27.5,23.9,1010.46,81.3,"Southern Part, East Coast",Yala Agromet.
ภาคใต้ฝั่งตะวันออก,นราธิวาส,4,32.0,27.4,23.8,1008.86,79.6,32.4,27.8,24.0,1009.93,78.9,"Southern Part, East Coast",Narathiwat
