ตาราง  2.17  อัตราค่าจ้างขั้นต่ำ พ.ศ. 2556 - 2567,,,,,,,,,,,,,,
Table   2.17  Minimum Wage Rate: 2013 - 2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(บาท/วัน  Baht/day)
ภาค,จังหวัด,ค่าจ้าง (Wage)_2556 (2013)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2560 (2017)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2561 (2018)_เม.ย. (Apr.),ค่าจ้าง (Wage)_2563 (2020)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2565 (2022)_ต.ค. (Oct.),ค่าจ้าง (Wage)_2567 (2024)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2560 (2017)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2561 (2018)_เม.ย. (Apr.),อัตราการเปลี่ยนแปลง (Percent change)_2563 (2020)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022)_ต.ค. (Oct.),อัตราการเปลี่ยนแปลง (Percent change)_2567 (2024)_ม.ค. (Jan.),Region,Province
ภาคเหนือ,กำแพงเพชร,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,300.00,305.00,310.00,315.00,332.00,345.00,1.67,1.64,1.61,5.40,3.92,Northern Region,Tak
ภาคเหนือ,สุโขทัย,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,300.00,305.00,315.00,320.00,335.00,345.00,1.67,3.28,1.59,4.69,2.99,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,300.00,305.00,315.00,320.00,335.00,342.00,1.67,3.28,1.59,4.69,2.09,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,300.00,308.00,320.00,325.00,340.00,352.00,2.67,3.90,1.56,4.62,3.53,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,300.00,305.00,315.00,320.00,335.00,345.00,1.67,3.28,1.59,4.69,2.99,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,300.00,305.00,315.00,320.00,335.00,344.00,1.67,3.28,1.59,4.69,2.69,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,300.00,305.00,320.00,325.00,340.00,345.00,1.67,4.92,1.56,4.62,1.47,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,300.00,305.00,315.00,320.00,335.00,343.00,1.67,3.28,1.59,4.69,2.39,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,300.00,305.00,310.00,315.00,332.00,341.00,1.67,1.64,1.61,5.40,2.71,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northeastern Region,Amnat Charoen
