ตาราง 15.7 รถจดทะเบียน ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,
Table 15.7 Vehicles Registered Under Land Transport ACT B.E. 2522 (1979) by Region and Province: 2023,,,,,,,
,,,,,,,
,,,,,,,(คัน Car)
ภาค,จังหวัด ,รวมยอด  (Total), รถโดยสาร (Bus) (1),รถบรรทุก (Truck) (2),รถขนาดเล็ก (Small rural bus),Region,Province
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,5644,215,5429,-,Northeastern Region,Mukdahan
ภาคใต้,รวม,132986,25884,106891,211,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,17188,2312,14844,32,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,7647,1801,5845,1,Southern Region,Krabi
ภาคใต้,พังงา,4264,1515,2740,9,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,12167,7996,4171,-,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,22868,2946,19843,79,Southern Region,Surat Thani
ภาคใต้,ระนอง,3716,546,3170,-,Southern Region,Ranong
ภาคใต้,ชุมพร,8333,489,7841,3,Southern Region,Chumphon
ภาคใต้,สงขลา,25661,4093,21568,-,Southern Region,Songkhla
ภาคใต้,สตูล,2678,572,2104,2,Southern Region,Satun
ภาคใต้,ตรัง,8235,750,7484,1,Southern Region,Trang
ภาคใต้,พัทลุง,7019,833,6167,19,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,4418,746,3634,38,Southern Region,Pattani
ภาคใต้,ยะลา,4831,907,3909,15,Southern Region,Yala
ภาคใต้,นราธิวาส,3961,378,3571,12,Southern Region,Narathiwat
,,,,,,,
(1) รถโดยสารประจำทาง รถโดยสารไม่ประจำทาง และรถโดยสารส่วนบุคคล,,,,,,,
"(1) Fixed route bus, non-fixed route bus and private bus",,,,,,,
(2) รถบรรทุกไม่ประจำทาง และรถบรรทุกส่วนบุคคล,,,,,,,
(2) Non-fixed route truck and private truck,,,,,,,
ที่มา:  กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,,,
"Source:  The Department of Transport, Ministry of Transport",,,,,,,
