ตาราง 15.10 รถยนต์ใช้ทางด่วน และรายได้จากการเก็บค่าผ่านทาง จำแนกตามด่านเก็บค่าผ่านทาง ปีงบประมาณ 2563 - 2565,,,,,,,
Table 15.10 Vehicles Using Expressway and Toll Revenue by Toll Plaza: Fiscal Years 2020 - 2022,,,,,,,
,,,,,,,
ด่านเก็บค่าผ่านทาง,จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2563 (2020),จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2564 (2021),จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2565 (2022),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) (Toll revenue (Million Baht))_2563 (2020),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) (Toll revenue (Million Baht))_2564 (2021),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) Toll revenue (Million Baht)_2565 (2022),Toll plaza
เชียงราก (ขาเข้า),3224,2507,2942,144,114,133,Chiang Rag (inbound)
เชียงราก (ขาออก),3140,2537,3012,141,115,137,Chiang Rag (outbound)
บางปะอิน (ขาเข้า),3040,2509,2694,165,139,149,Bangpa-in (inbound)
บางปะอิน (ขาออก),3563,2923,3012,194,161,166,Bangpa-in (outbound)
ทางพิเศษกาญจนาภิเษก  ทางพิเศษบางพลี สุขสวัสดิ์,82311,70849,79716,2654,2413,2707,Karnchanapisek Expressway (Bangphli Suksawat)  
บางขุนเทียน ทางออก 1,9751,8279,8677,256,226,239,Bangkhuntheiyn (outbound) 1
บางขุนเทียน ทางออก 2,1761,1470,1664,51,44,53,Bangkhuntheiyn (outbound) 2
บางขุนเทียน ทางออก 3,6108,5535,6461,240,231,261,Bangkhuntheiyn (outbound) 3
บางครุ ทางออก 1,5533,5002,5535,318,298,337,Bangkhru (outbound) 1
บางครุ ทางออก 2,3368,3133,3597,-,-,-,Bangkhru (outbound) 2
ปากน้ำ ทางออก 1,2897,2538,2567,66,60,60,Paknam (outbound) 1
ปากน้ำ ทางออก 2,1958,1590,1874,46,39,46,Paknam (outbound) 2
ปากน้ำ ทางออก 3,843,700,799,23,20,23,Paknam (outbound) 3
ปากน้ำ ทางออก 4,1688,1451,1552,51,49,53,Paknam (outbound) 4
บางเมือง ทางออก 1,2889,2310,2507,82,67,73,Bangmuang (outbound) 1
บางเมือง ทางออก 2,3033,2650,3190,92,86,103,Bangmuang (outbound) 2
บางเมือง ทางออก 3,3544,3008,3624,87,78,93,Bangmuang (outbound) 3
เทพารักษ์ ทางออก 1,736,639,642,22,20,20,Thepharaks (outbound) 1
เทพารักษ์ ทางออก 2,1970,1711,1958,40,36,41,Thepharaks (outbound) 2
เทพารักษ์ ทางออก 3,3442,3117,3380,125,118,127,Thepharaks (outbound) 3
เทพารักษ์ ทางออก 4,3132,2708,3136,63,56,65,Thepharaks (outbound) 4
บางแก้ว ทางออก 1,9608,8265,9658,288,251,295,Bangkaeo (outbound) 1
บางแก้ว ทางออก 2,4232,3416,3828,218,202,226,Bangkaeo (outbound) 2
บางแก้ว ทางออก 3,7109,6286,7137,332,316,351,Bangkaeo (outbound) 3
ปู่เจ้าสมิงพราย (ทางออก),8710,7040,7929,253,216,241,Poochaosamingprai (outbound)
ทางพิเศษศรีรัช - (วงแหวนทางพิเศษบางพลี สุขสวัสดิ์ รอบนอกกรุงเทพมหานคร),21635,17800,18731,1072,882,1146,Si Rat Expressway (Outer RingRoad Expressway)
ฉิมพลี (ด่านขาเข้า),5635,4303,4564,282,215,282,Chim Phli (inbound)
ตลิ่งชัน (ด่านขาเข้า),2814,2441,2737,140,122,169,Taling Chan (inbound)
บรมราชชนนี (ด่านขาเข้า),2757,2548,2556,137,127,156,Borommaratchachonnani (inbound)
บางบำหรุ (ด่านขาเข้า),1208,909,984,60,45,60,Bang Bumru (inbound)
บางพลัด (ด่านขาออก),109,78,67,5,3,4,Bang Phlat (inbound)
บางกรวย (ด่านขาเข้า),791,594,665,39,29,41,Bang Kruai (inbound)
สะพานพระราม 7 (ด่านขาเข้า / ด่านขาออก),2027,1710,1745,97,81,103, Rama 7(inbound / outbound)
กำแพงเพชร 2 (ด่านขาออก),3197,2506,2576,160,125,157,Kamphaeng Phet 2 (outbound)
บางซื่อ 1 (ด่านขาออก),3095,2711,2837,154,135,175,Bang Sue 1 (outbound)
,,,,,,,
ที่มา: การทางพิเศษแห่งประเทศไทย,,,,,,,
Source: The Expressway and Rapid Transit Authority of Thailand,,,,,,,
