ตาราง 15.6 รถจดทะเบียน ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,,,,,,
Table 15.6 Vehicles Registered Under Motor Vehicle ACT B.E. 2522 (1979) by Region and Province: 2023,,,,,,,,,,,,
,,,,,,,,,,,,
ภาคใต้,รวม,5178751,2021473,3848,5922,3129530,15679,2119,45,135,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,668478,278022,66,52,387363,2711,248,6,10,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,275755,128678,130,486,145876,517,53,4,11,Southern Region,Krabi
ภาคใต้,พังงา,125319,40145,-,301,84631,209,26,1,6,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,503885,185569,3023,4478,310468,300,29,-,18,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,661454,297442,395,308,358486,4417,374,3,29,Southern Region,Surat Thani
ภาคใต้,ระนอง,102138,34762,-,4,67075,227,61,1,8,Southern Region,Ranong
ภาคใต้,ชุมพร,317425,142726,-,-,172834,1682,162,3,18,Southern Region,Chumphon
ภาคใต้,สงขลา,901789,428250,81,21,470948,2106,364,4,15,Southern Region,Songkhla
ภาคใต้,สตูล,141197,40751,-,1,100146,259,39,-,1,Southern Region,Satun
ภาคใต้,ตรัง,363691,133952,150,26,228658,758,138,3,6,Southern Region,Trang
ภาคใต้,พัทลุง,261456,92536,-,-,167663,1124,127,-,6,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,266508,71452,-,245,194242,410,156,-,3,Southern Region,Pattani
ภาคใต้,ยะลา,319487,91249,3,-,227627,440,167,-,1,Southern Region,Yala
ภาคใต้,นราธิวาส,270169,55939,-,-,213513,519,175,20,3,Southern Region,Narathiwat
,,,,,,,,,,,,
,,,,,,,,,,,,
(1) ประกอบด้วยรถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน รถยนต์นั่งส่วนบุคคลเกิน 7 คน รถยนต์บรรทุกส่วนบุคคลและรถยนต์สามล้อส่วนบุคคล,,,,,,,,,,,,
"(1)  Consisting of sedan (not more than 7 passengers) microbus & passenger van, van & pick up  and motortricycle.",,,,,,,,,,,,
(2) ประกอบด้วยรถยนต์รับจ้างระหว่างจังหวัด รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน รถยนต์สี่ล้อเล็กรับจ้าง รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์ และรถยนต์รับจ้างสามล้อ,,,,,,,,,,,,
"(2)  Consisting of interprovincial taxi, urban taxi, fixed route taxi, ride-hailing car and motortricycle taxi (Tuk Tuk).",,,,,,,,,,,,
(3) ประกอบด้วยรถยนต์บริการธุรกิจ รถยนต์บริการทัศนาจร และรถยนต์บริการให้เช่า,,,,,,,,,,,,
"(3)  Consisting of hotel taxi, tour taxi and car for hire.",,,,,,,,,,,,
(4) ประกอบด้วยรถจักรยานยนต์ และรถจักรยานยนต์สาธารณะ,,,,,,,,,,,,
(4)  Consisting of motorcycle and public motorcycle.,,,,,,,,,,,,
ที่มา:กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,,,,,,,,
"Source:  The Department of Land Transport, Ministry of Transport ",,,,,,,,,,,,
