ตาราง 14.2 มูลค่าสินค้าขาเข้า ขาออก และดุลการค้า จำแนกตามประเทศ พ.ศ. 2565 - 2566,,,,,,,,,
"Table 14.2 Value of Imports, Exports and Balance of Trade by Country: 2022 - 2023",,,,,,,,,
,,,,,,,,,
กาตาร์,154647.9,119289.9,-21.8,14243.6,11241.7,-22.9,-140404.3,-108048.1,Qatar
จอร์แดน,1248.3,1799.6,44.2,8761.2,7024.4,-21.8,7512.9,5224.9,Jordan
เยเมน,11747.1,873.5,-92.6,8813.3,7785.1,-11.7,-2933.9,6911.6,Yemen
ซีเรีย,1.0,1.4,37.8,505.7,902.1,78.4,504.7,900.7,Syria
บาห์เรน,11898.1,7463.6,-36.8,4779.6,5834.8,18.0,-7118.5,-1628.9,Bahrain
เลบานอน,39.4,68.1,72.7,5388.3,5204.6,-15.3,5348.9,5136.6,Lebanon
อัฟกานิสถาน,30.8,34.4,12.0,376.7,363.0,-4.0,346.0,328.6,Afghanistan
บรูไนดารุสซาลาม,24770.9,19846.8,-17.1,2579.9,3379.9,31.4,-22191.0,-16466.9,Brunei Darussalam
ไซปรัส,223.0,265.6,19.1,945.2,1177.9,24.6,722.2,912.4,Cyprus
มัลดีฟส์,3080.8,4175.1,35.2,3113.1,2933.9,-5.2,32.2,-1241.2,Maldives
เนปาล,32.2,48.6,51.1,1795.6,1578.3,-12.1,1763.4,1529.7,Nepal
เกาหลี (เหนือ),0.1,3.8,3270.1,-,--,100.0,-0.1,-3.8,Korea (North)
คาซัคสถาน,2683.1,3326.6,24.0,2163.4,2607.5,20.5,-519.8,-719.1,Kazakhstan
จอร์เจีย,56.7,61.1,7.8,1480.1,1970.0,32.8,1423.4,1908.8,Georgia
มาเก๊า,400.0,260.3,-34.9,1259.0,1704.9,35.4,859.0,1444.7,Macau
เนเธอร์แลนด์,37135.4,35612.0,-4.1,198575.7,201452.3,1.3,161440.3,165840.3,Netherlands
สหราชอาณาจักร,75803.8,93196.7,22.9,140145.2,140187.6,--,64341.4,46990.9,United Kingdom
เยอรมนี,212345.1,215540.6,1.4,165863.8,156976.4,-7.1,-46481.2,-58564.2,Germany
สวิตเซอร์แลนด์,250491.2,174114.2,-30.5,110962.5,137438.7,23.7,-139528.7,-36675.5,Switzerland
อิตาลี,100165.5,103263.8,3.1,70817.5,72229.0,2.0,-29348.0,-31034.7,Italy
ฝรั่งเศส,83964.4,117343.2,39.3,73232.1,66919.9,-8.8,-10732.3,-50423.3,France
เบลเยี่ยม.,34507.5,25003.5,-27.6,75152.5,57567.1,-23.4,40645.1,32563.6,Belgium
สเปน,26612.1,27068.7,1.7,30180.0,29875.0,-1.4,3567.9,2806.3,Spain
รัสเซีย,44268.5,24207.4,-45.3,20288.1,28423.8,44.1,-23980.4,4216.4,Russia
สาธารณรัฐเช็ก,10577.7,12306.5,16.5,27718.8,27169.2,-2.4,17141.1,14862.7,Czech Republic
เดนมาร์ก,14747.3,16965.8,15.1,13974.3,12429.9,-11.1,-773.1,-4535.9,Denmark
สวีเดน,29294.4,28234.0,-3.6,17434.6,18186.7,4.2,-11859.9,-10047.3,Sweden
ไอร์แลนด์,13608.2,17554.4,29.0,19481.4,17078.1,-12.3,5873.3,-476.3,Ireland
ฟินแลนด์,11868.2,14844.3,26.0,7808.5,4923.1,-37.0,-4059.7,-9921.2,Finland
โปแลนด์,16681.5,16323.0,-2.1,20636.2,20586.7,-0.6,3954.7,4263.7,Poland
ฮังการี,7479.7,8901.9,19.0,18546.7,17808.8,-4.1,11067.0,8906.9,Hungary
กรีซ,2617.1,3674.1,40.4,4729.9,4760.6,0.7,2112.8,1086.5,Greece
ออสเตรีย,15806.9,16166.2,2.3,8888.7,7761.6,-15.4,-6918.2,-8404.6,Austria
ยูเครน,2251.8,3445.7,53.0,1333.7,1433.2,-5.1,-918.1,-2012.5,Ukraine
โปรตุเกส,3299.8,3577.2,8.4,6741.3,7425.4,7.6,3441.6,3848.2,Portugal
นอร์เวย์,26111.3,17541.5,-32.8,9943.8,11799.5,18.7,-16167.4,-5742.0,Norway
สาธารณรัฐสโลวัก,3266.5,5030.3,54.0,6987.4,7337.0,4.9,3720.9,2306.6,Slovak Republic
ลิทัวเนีย,1025.8,968.5,-5.7,1270.4,3374.2,165.6,244.6,2405.7,Lithuania
โรมาเนีย,4124.5,6775.1,64.5,8706.2,9519.7,8.9,4581.8,2744.5,Romania
เอสโตเนีย,952.0,1314.5,38.1,1274.0,1155.1,-9.2,322.0,-159.4,Estonia
โครเอเชีย,383.0,343.3,-10.4,617.0,828.3,34.2,234.1,485.0,Croatia
สโลวีเนีย,2080.7,2693.5,29.5,5314.8,4120.2,-22.8,3234.0,1426.7,Slovenia
บัลแกเรีย,2883.9,6713.4,135.5,3547.5,3836.3,8.1,663.6,-2877.1,Bulgaria
ลัตเวีย,868.9,884.6,1.8,1340.1,960.5,-28.3,471.3,75.9,Latvia
มอลตา,1725.7,1378.4,-20.1,658.5,868.0,31.8,-1067.2,-510.4,Molta
บราซิล,137415.0,155069.1,13.5,65474.7,62792.0,-4.8,-71940.3,-92277.2,Brazil
อาร์เจนตินา,13870.2,11622.5,-14.5,51581.5,53038.5,2.8,37711.3,41416.0,Argentina
ชิลี,26610.7,24863.3,-6.6,18279.2,16426.0,-18.6,-8331.4,-8437.4,Chile
เอกวาดอร์,2056.2,1968.1,-4.3,9293.4,9142.3,-3.8,7237.2,7174.3,Ecuador
โคลัมเบีย,2302.2,3541.1,53.8,10031.9,7059.9,-30.1,7729.7,3518.8,Colombia
เปรู,4691.3,6808.6,45.1,10851.7,10224.5,-7.7,6160.5,3415.8,Peru
เวเนซุเอลา,1118.4,454.7,-59.3,727.7,914.3,25.6,-390.7,459.6,Venezuela
ตรินิแดดและโตเบโก,13674.6,4110.9,-69.9,2922.8,3829.6,25.0,-10751.8,-281.3,Trinidad and Tobago
ปารากวัย,2431.1,801.3,-67.0,1376.6,1178.8,-14.4,-1054.6,377.5,Paraguay
ซูรินาเม,46.2,23.1,-50.1,1101.6,1175.3,6.7,1055.3,1152.2,Suriname
อุรุกวัย,2633.5,2313.1,-12.2,1471.8,1157.8,-21.8,-1161.7,-1155.3,Uruguay
โบลิเวีย,28.7,109.7,282.5,1411.4,1340.5,-12.4,1382.7,1230.8,Bolivia
กายอานา,200.9,56.6,-71.9,647.9,915.5,41.3,446.9,859.0,Guyana
สหรัฐอเมริกา,623958.9,673096.3,8.9,1648710.2,1667729.3,2.2,1024751.3,994633.0,United States
แคนาดา,40729.5,35930.5,-11.8,73393.6,65709.5,-11.0,32664.1,29779.0,Canada
เม็กซิโก,32278.6,36289.8,12.4,112931.4,127802.8,9.6,80652.8,91513.0,Mexico
ปานามา,10830.0,12316.9,13.7,5739.9,6048.6,3.8,-5090.1,-6268.3,Panama
กัวเตมาลา,694.8,539.0,-22.4,4930.5,6794.3,31.6,4235.7,6255.3,Guatemala
สาธารณรัฐโดมินิกัน,1248.3,1133.6,-9.2,3160.1,3898.1,21.5,1911.9,2764.4,Dominican Republic
คอสตาริกา,2773.7,2090.7,-24.6,5353.8,4595.7,-17.8,2580.1,2505.0,Costa Rica
ฮอนดูรัส,316.0,186.1,-41.1,3295.1,5142.3,49.6,2979.0,4956.2,Honduras
เอลซัลวาดอร์,279.9,223.4,-20.2,2756.8,3187.7,11.3,2476.9,2964.3,El Salvador
นิการากัว,109.9,109.1,-0.7,1020.8,1766.7,58.8,910.8,1657.5,Nicaragua
จาเมกา,570.7,309.0,-45.9,2374.5,3181.5,30.2,1803.7,2872.5,Jamaica
เปอร์โตริโก,3444.2,4670.0,35.6,3712.6,4226.6,-4.1,268.4,-443.4,Puerto Rico
เฮติ,681.1,320.9,-52.9,296.0,138.8,-53.1,-385.1,-182.1,Haiti
บาร์เบโดส,36.0,33.9,-5.9,867.2,771.0,-12.5,831.2,737.1,Barbodos
เนเธอร์แลนด์แอนทิลลิส,31.4,83.9,167.5,60.5,50.8,-16.0,29.1,-33.1,Netherlands Antilles
เซนต์ลูเซีย,26.0,0.8,-96.8,319.2,461.2,42.7,293.2,460.3,Saint Lucia
คิวบา,90.6,96.0,6.0,71.1,142.4,100.2,-19.4,46.4,Cuba
แอฟริกาใต้,26280.3,19493.9,-25.5,97838.8,121569.8,24.7,71558.6,102075.9,South Africa
ไนจีเรีย,38663.8,20295.2,-47.2,7756.3,6952.1,-11.6,-30907.4,-13343.2,Nigeria
อียิปต์,7343.3,2049.2,-72.0,35679.7,22984.3,-35.8,28336.4,20935.1,Egypt
เบนิน,23.1,62.7,171.6,5006.1,2577.1,-48.5,4983.0,2514.4,Benin
ลิเบีย,61655.1,43855.1,-26.1,8299.9,8983.3,-1.0,-53355.1,-34871.8,Libya
โกตดิวัวร์,436.3,50.0,-88.5,4305.9,5621.6,30.8,3869.6,5571.6,Cote D'Ivdire
เซเนกัล,57.0,41.2,-27.7,6298.6,8198.3,24.6,6241.6,8157.1,Senegal
กานา,3293.9,2914.0,-11.5,3564.3,3892.9,9.1,270.4,978.9,Ghana
แอลจีเรีย,21199.3,6307.1,-69.2,2425.2,3647.4,50.4,-18774.2,-2659.7,Algeria
แองโกลา,60878.1,27462.4,-53.8,4159.2,3552.7,-15.7,-56718.9,-23909.7,Angola
โตโก,64.3,28.3,-56.0,1554.3,1894.8,22.2,1490.0,1866.5,Togo
โมร็อกโก,1989.1,2497.8,25.6,3867.8,3702.3,-13.1,1878.6,1204.5,Morocco
เคนยา,1033.6,1016.7,-1.6,7938.2,6641.1,-16.3,6904.6,5624.4,Kenya
ซูดาน,197.2,40.1,-79.7,2869.9,783.1,-72.7,2672.7,743.0,Sudan
แทนซาเนีย,1528.2,2454.0,60.4,6439.2,5387.9,-16.3,4911.0,2933.9,Tanzania
ตูนิเซีย,885.4,1914.6,116.2,2608.2,2931.8,9.7,1722.9,1017.2,Tunisia
โมซัมบิก,3758.5,17989.7,378.6,4905.1,6264.9,27.5,1146.6,-11724.8,Mozambique
มอริเชียส,235.7,181.2,-23.0,2546.5,2771.7,6.4,2310.8,2590.5,Mauritius
แคเมอรูน,57.2,59.1,3.4,4011.4,4508.8,10.4,3954.2,4449.7,Cameroon
เรอูนียง,32.0,30.9,-3.5,575.9,554.1,-3.8,543.8,523.2,Reunion
มาดากัสการ์,581.3,1454.2,150.2,796.8,825.8,3.8,215.5,-628.4,Madagascar
กาบอง,6626.1,9622.4,59.3,884.8,752.8,-14.9,-5741.3,-8869.5,Gabon
คองโก,10979.4,5166.5,-51.2,763.4,906.9,18.8,-10216.0,-4259.6,Congo
เซียร์ราลีโอน,56.9,58.2,2.3,304.5,315.4,3.6,247.6,257.2,Sierra Leone
จิบูตี,0.2,1.7,637.5,1301.5,814.9,-37.4,1301.3,813.2,Djibouti
กินี,24.1,35.0,45.1,1151.9,700.7,-39.0,1127.8,665.7,Guinea
มอริเตเนีย,2.2,1.0,-52.9,754.9,401.2,-46.9,752.7,400.2,Mauritania
แกมเบีย,14.3,1.1,-92.3,345.7,363.7,5.6,331.4,362.6,Gambia
ซิมบับเว,186.5,120.8,-35.2,789.2,1851.7,140.3,602.7,1730.9,Zimbabwe
เอธิโอเปีย,122.3,177.4,79.6,1331.9,1310.8,-1.6,1209.6,1133.4,Ethiopia
มายอต,-,0.1,100.0,412.6,254.7,-38.3,412.6,254.6,Mayotte
ยูกันดา,33.9,33.3,-2.0,804.4,1008.6,18.6,770.4,975.4,Uganda
โซมาเลีย,18.8,22.6,20.2,602.4,735.1,22.0,583.6,712.4,Somalia
บอตสวานา,295.0,280.8,-4.8,59.7,66.6,11.5,-235.3,-214.2,Botswana
ไนเจอร์,5.4,4.2,-21.0,1016.4,177.9,-82.5,1011.0,173.6,Niger
บูร์กินาฟาโซ,45.0,0.3,-99.4,541.0,341.9,-36.8,496.0,341.6,Burkina Faso
ออสเตรเลีย,249904.0,237224.5,-4.6,388664.2,421710.9,7.5,138760.2,184486.5,Australia
นิวซีแลนด์,34013.9,29177.5,-14.2,65065.0,48451.6,-25.7,31051.1,19274.1,New Zealand
ปาปัวนิวกินี,7353.9,6118.7,-15.0,6437.5,6138.3,-4.8,-916.3,19.6,Papua New Guinea
ฟิจิ,395.9,44.1,-88.9,2538.0,2609.1,2.3,2142.1,2565.1,Fiji
นิวแคลิโดเนีย,15.1,23.7,56.7,2163.5,1650.0,-25.0,2148.3,1626.3,New Caledonia
เฟรนช์โปลินีเซีย (ทาฮิติ),22.3,51.8,132.3,1327.2,1023.0,-22.9,1304.9,971.1,French Polynesia (Tahiti)
กวม,1.2,0.1,-88.4,392.9,377.5,-7.4,391.7,377.4,Guam
หมู่เกาะโซโลมอน,168.1,628.3,272.0,507.2,519.2,2.4,339.1,-109.1,Solomon Islands
ซามัว,3.8,1.3,-65.1,410.3,380.2,-7.6,406.6,378.8,Samoa
ประเทศอื่น ๆ,200500.0,199415.5,-0.5,23582.9,36283.8,53.9,-176917.2,-163131.7,Other countries
,,,,,,,,,
(1) รวมสินค้าส่งกลับ  ,,,,,,,,,
(1) Including re-exports,,,,,,,,,
หมายเหตุ: อัตราการขยายตัวคำนวณจากมูลค่าเป็นบาท,,,,,,,,,
Note: The growth rate is calculate from the value in baht.,,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงพาณิชย์  ,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Commerce,,,,,,,,,
