 ตาราง  12.3 โรงงานอุตสาหกรรม(1/)   ที่จดทะเบียนไว้กับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,
 Table   12.3  Establishments(1/) Operated Registration at Ministry of Industry (Factory Act B.E. 2535 (1992)) by Region and Province: 2022 - 2023,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_จำนวนโรงงาน (Number of factories),2565 (2022)_เงินทุน (ล้านบาท)  (Investment (Million Baht)),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (male),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),2566 (2023)_จำนวนโรงงาน (Number of factories),2566 (2023)_เงินทุน (ล้านบาท) ( Investment (Million Baht)),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (Male),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),Region,Province
ภาคใต้,รวม,6460,372780,129162,96754,6408,377873,131230,97160,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,910,59364,12555,6079,881,59702,12512,6143,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,359,32228,6430,2473,351,32149,6412,2459,Southern Region,Krabi
ภาคใต้,พังงา,298,5695,3504,1283,272,5662,3353,1275,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,300,11668,5509,2047,283,12324,5087,1936,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,1113,76398,24739,15897,1123,77606,25149,16247,Southern Region,Surat Thani
ภาคใต้,ระนอง,227,4329,3321,3325,229,4763,3397,3419,Southern Region,Ranong
ภาคใต้,ชุมพร,490,26917,8779,6005,512,28031,9002,6061,Southern Region,Chumphon
ภาคใต้,สงขลา,1225,97161,35717,37777,1226,97153,37323,37606,Southern Region,Songkhla
ภาคใต้,สตูล,193,4697,2585,1916,191,5286,2613,1925,Southern Region,Satun
ภาคใต้,ตรัง,467,20420,12403,12060,449,20904,12643,12191,Southern Region,Trang
ภาคใต้,พัทลุง,357,7795,3375,1679,375,7961,3464,1683,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,175,9187,3694,2716,166,9248,3661,2710,Southern Region,Pattani
ภาคใต้,ยะลา,173,12200,4012,2309,176,12345,4068,2317,Southern Region,Yala
ภาคใต้,นราธิวาส,173,4721,2539,1188,174,4737,2546,1188,Southern Region,Narathiwat
,,,,,,,,,,,
1/ ประกอบด้วยโรงงานประเภทที่ 2 และประเภทที่ 3 โรงงานประเภทที่ 2 หมายถึง โรงงานที่ต้องแจ้งให้ทราบก่อนการประกอบกิจการโรงงาน โรงงานประเภทที่ 3 หมายถึง โรงงานที่ต้องได้รับอนุญาตก่อนจึงจะดำเนินการได้,,,,,,,,,,,
1/  Consisting of factory group 2 and group 3 Factory group 2 refers to factory that has to inform prior to its operation  Factory group 3 refers to factory whose permission must be received prior to its operation.,,,,,,,,,,,
กรมโรงงานอุตสาหกรรม  กระทรวงอุตสาหกรรม,,,,,,  ,,,,,
"Source:  Department of Industrial Works, Ministry of Industry",,,,,,,,,,,
