ตาราง 19.5  สรุปงบประมาณรายจ่ายของประเทศ จำแนกตามกระทรวง กรม และส่วนราชการอิสระ ปีงบประมาณ 2565 - 2567     ,,,,,,
"Table 19.5  Summary of Budget Expenditure by Ministry, Department and Independent Public Agency: Fiscal Years 2022 - 2024",,,,,,
,,,,,,
งบกลาง,เงินสมทบของลูกจ้างประจำ,570.0,500.0,440.0,Central Fund,Contributions for Permanent Employees
งบกลาง,เงินสำรอง เงินสมทบ และเงินชดเชยของข้าราชการ,72370.0,75980.0,78775.0,Central Fund,"Financial Reserve, Contribution and Compensation for Civil Servants"
งบกลาง,เงินสำรองจ่ายเพื่อกรณีฉุกเฉิน หรือจำเป็น,89000.0,92400.0,98500.0,Central Fund,Contingency Fund for Emergencies or Immediate Needs
งบกลาง,ค่าใช้จ่ายในการบรรเทา แก้ไขปัญหา และเยียวยาผู้ที่ได้รับผลกระทบจากการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019,16362.0,3000.0,-,Central Fund,"Expenditures for Alleviating, Rectifying and Remedying those affected by the Outbreak of the Coronavirus 2019"
สำนักนายกรัฐมนตรี,รวม,32012.9,32186.3,34753.5,Office of the Prime Minister,Total
สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,794.2,792.0,950.3,Office of the Prime Minister,Office of the Permanent Secretary 
สำนักนายกรัฐมนตรี,กรมประชาสัมพันธ์,2422.5,2462.6,2448.8,Office of the Prime Minister,The Public Relations Department
สำนักนายกรัฐมนตรี,สำนักข่าวกรองแห่งชาติ,761.1,925.0,690.2,Office of the Prime Minister,National Intelligence Agency 
สำนักนายกรัฐมนตรี,สำนักงบประมาณ,1031.2,1279.5,1262.0,Office of the Prime Minister,Budget Bureau
สำนักนายกรัฐมนตรี,สำนักงานขับเคลื่อนการปฎิรูปประเทศ ยุทธศาสตร์ชาติ และการสร้างความสามัคคีปรองดอง,38.9,42.8,48.9,Office of the Prime Minister,Strategic Transformation Office
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการกฤษฎีกา,446.4,512.0,563.2,Office of the Prime Minister,Office of the Council of State 
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการข้าราชการพลเรือน,1430.5,1708.3,1689.3,Office of the Prime Minister,Office of the Civil Service Commission
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการคุ้มครองผู้บริโภค,194.8,203.9,248.4,Office of the Prime Minister,Office of the Consumer Protection Board
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการนโยบายที่ดินแห่งชาติ,38.9,298.8,317.4,Office of the Prime Minister,Office of the National Land Policy Board
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการพัฒนาระบบราชการ,238.4,432.2,242.0,Office of the Prime Minister,Office of the Public Sector Development Commission
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการส่งเสริมการลงทุน,535.9,535.4,592.8,Office of the Prime Minister,Thailand Board of Investment
สำนักนายกรัฐมนตรี,สำนักงานทรัพยากรน้ำแห่งชาติ,955.2,987.5,772.6,Office of the Prime Minister,Office of the National Water Resources
สำนักนายกรัฐมนตรี,สำนักงานสภาความมั่นคงแห่งชาติ,211.7,221.3,282.0,Office of the Prime Minister,Office of the National Security Council
สำนักนายกรัฐมนตรี,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ,541.9,578.4,676.0,Office of the Prime Minister,Office of the National Economic and Social Development Council
สำนักนายกรัฐมนตรี,สำนักเลขาธิการคณะรัฐมนตรี,736.7,700.2,727.5,Office of the Prime Minister,The Secretariat of the Cabinet
สำนักนายกรัฐมนตรี,สำนักเลขาธิการนายกรัฐมนตรี,4339.9,3059.7,4243.5,Office of the Prime Minister,The Secretariat of the Prime Minister
สำนักนายกรัฐมนตรี,กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร,7764.9,7772.3,7544.6,Office of the Prime Minister,Internal Security Operations Command
สำนักนายกรัฐมนตรี,ศูนย์อำนวยการรักษาผลประโยชน์ของชาติทางทะเล,1354.9,1274.7,1394.8,Office of the Prime Minister,Thai Maritime Enforcement Command Center
สำนักนายกรัฐมนตรี,ราชวิทยาลัยจุฬาภรณ์,5708.8,5704.9,5825.1,Office of the Prime Minister,Chulabhorn Royal Academy
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการสุขภาพแห่งชาติ,168.9,160.7,167.7,Office of the Prime Minister,National Health Commission Office
สำนักนายกรัฐมนตรี,สถาบันคุณวุฒิวิชาชีพ (องค์การมหาชน) ,181.3,208.7,198.5,Office of the Prime Minister,Thailand Professional Qualification Institute (Public Organization)
สำนักนายกรัฐมนตรี,สถาบันบริหารจัดการธนาคารที่ดิน (องค์การมหาชน) ,53.5,56.0,547.4,Office of the Prime Minister,The Land Bank Administration Institute (Public Organization)
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ,144.3,318.6,498.6,Office of the Prime Minister,National Cyber Security Agency 
สำนักนายกรัฐมนตรี,สำนักงานบริหารและพัฒนาองค์ความรู้ (องค์การมหาชน),252.0,261.6,469.1,Office of the Prime Minister,Office of Knowledge Management and Development (Public Organization)
สำนักนายกรัฐมนตรี,สำนักงานพัฒนาพิงคนคร (องค์การมหาชน),106.3,78.9,103.8,Office of the Prime Minister,Pinkanakorn Development Agency (Public Organization)
สำนักนายกรัฐมนตรี,สำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน),656.0,672.1,953.2,Office of the Prime Minister,Digital Government Development Agency (Public Organization)
สำนักนายกรัฐมนตรี,สำนักงานส่งเสริมการจัดประชุมและนิทรรศการ (องค์การมหาชน),594.1,637.3,826.7,Office of the Prime Minister,Thailand Convention and Exhibition Bureau (Public Organization)
สำนักนายกรัฐมนตรี,สำนักงานส่งเสริมเศรษฐกิจสร้างสรรค์ (องค์การมหาชน),309.7,300.9,469.1,Office of the Prime Minister,Creative Economy Agency (Public Organization)
กระทรวงกลาโหม,รวม,201666.4,194498.7,198320.4,Ministry of Defence,Total
กระทรวงกลาโหม,สำนักงานปลัดกระทรวง,9152.2,9230.3,9275.4,Ministry of Defence,Office of the Permanent Secretary
กระทรวงกลาโหม,กองทัพบก,99613.0,94501.3,95924.6,Ministry of Defence,Royal Thai Army
กระทรวงกลาโหม,กองทัพเรือ,40207.2,40067.0,41086.3,Ministry of Defence,Royal Thai Navy
กระทรวงกลาโหม,กองทัพอากาศ,37794.5,35713.8,36411.4,Ministry of Defence,Royal Thai Air Force
กระทรวงกลาโหม,กองบัญชาการกองทัพไทย,14483.8,14484.7,14771.9,Ministry of Defence,Royal Thai Armed Forces Headquarters
กระทรวงกลาโหม,สถาบันเทคโนโลยีป้องกันประเทศ,415.7,501.6,850.8,Ministry of Defence,Defence Technology Institute 
กระทรวงการคลัง,รวม,273602.8,285154.7,327155.1,Ministry of Finance,Total
กระทรวงการคลัง,สำนักงานปลัดกระทรวง,976.8,1259.0,765.4,Ministry of Finance,Office of the Permanent Secretary
กระทรวงการคลัง,กรมธนารักษ์,3850.5,3785.9,5155.5,Ministry of Finance,The Treasury Department
กระทรวงการคลัง,กรมบัญชีกลาง,1483.2,1529.8,1789.1,Ministry of Finance,The Comptroller General's Department
กระทรวงการคลัง,กรมศุลกากร,4022.3,3598.2,3664.1,Ministry of Finance,The Customs Department
กระทรวงการคลัง,กรมสรรพสามิต,2189.3,2204.6,5341.2,Ministry of Finance,The Excise Department
กระทรวงการคลัง,กรมสรรพากร,9551.3,9243.0,9641.4,Ministry of Finance,The Revenue Department
กระทรวงการคลัง,สำนักงานคณะกรรมการนโยบายรัฐวิสาหกิจ,136.5,117.2,139.8,Ministry of Finance,State Enterprise Policy Office
กระทรวงการคลัง,สำนักงานบริหารหนี้สาธารณะ,249890.6,261908.8,299477.9,Ministry of Finance,Public Debt Management Office
กระทรวงการคลัง,สำนักงานเศรษฐกิจการคลัง,922.3,928.2,503.2,Ministry of Finance,Fiscal Policy Office
กระทรวงการคลัง,สำนักงานความร่วมมือพัฒนาเศรษฐกิจกับประเทศเพื่อนบ้าน (องค์การมหาชน),580.0,580.0,677.5,Ministry of Finance,Neighbouring Countries Economic Development Cooperation Agency (Public Organization)
กระทรวงการต่างประเทศ,รวม,7406.5,7556.5,9009.8,Ministry of Foreign Affairs,Total
กระทรวงการต่างประเทศ,สำนักงานปลัดกระทรวง,7406.5,7556.5,9009.8,Ministry of Foreign Affairs,Office of the Permanent Secretary
กระทรวงการท่องเที่ยวและกีฬา,รวม,5092.9,5295.5,5591.3,Ministry of Tourism and Sports,Total
กระทรวงการท่องเที่ยวและกีฬา,สำนักงานปลัดกระทรวง,592.1,670.9,735.4,Ministry of Tourism and Sports,Office of the Permanent Secretary
กระทรวงการท่องเที่ยวและกีฬา,กรมการท่องเที่ยว,1695.9,1753.8,1896.8,Ministry of Tourism and Sports,Department of Tourism
กระทรวงการท่องเที่ยวและกีฬา,กรมพลศึกษา,618.3,641.5,726.2,Ministry of Tourism and Sports,Department of Physical Education
กระทรวงการท่องเที่ยวและกีฬา,มหาวิทยาลัยการกีฬาแห่งชาติ,1835.4,1874.4,1862.7,Ministry of Tourism and Sports,Thailand National Sports University
กระทรวงการท่องเที่ยวและกีฬา,องค์การบริหารการพัฒนาพื้นที่พิเศษเพื่อการท่องเที่ยวอย่างยั่งยืน (องค์การมหาชน),351.2,354.9,370.2,Ministry of Tourism and Sports,Designated Areas for Sustainable Tourism Administration (Public Organization)
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,รวม,24624.9,24616.9,25327.9,Ministry of Social Development and   Human Security,Total
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สำนักงานปลัดกระทรวง ,1502.3,1569.3,1724.2,Ministry of Social Development and   Human Security,Office of the Permanent Secretary
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการเด็กและเยาวชน ,18177.1,17845.5,18010.5,Ministry of Social Development and   Human Security,Department of Children and Youth
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการผู้สูงอายุ ,688.9,851.4,1132.6,Ministry of Social Development and   Human Security,Department of Older Persons
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการสตรีและสถาบันครอบครัว,526.0,521.5,512.5,Ministry of Social Development and   Human Security,Department of Women's Affairs and Family Development
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมพัฒนาสังคมและสวัสดิการ ,1718.2,1747.0,1785.8,Ministry of Social Development and   Human Security,Department of Social Development and Welfare
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ,708.6,809.2,778.4,Ministry of Social Development and   Human Security,Department of Empowerment of Persons with Disabilities
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สถาบันพัฒนาองค์กรชุมชน (องค์การมหาชน),1303.8,1273.0,1383.9,Ministry of Social Development and   Human Security,Community Organizations Development Institute (Public Organization)
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,รวม,123446.6,124555.9,127546.6,"Ministry of Higher Education, Science, Research and Innovation",Total
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,สำนักงานปลัดกระทรวง ,7634.9,7925.0,9241.3,"Ministry of Higher Education, Science, Research and Innovation",Office of the Permanent Secretary
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,กรมวิทยาศาสตร์บริการ ,463.4,462.7,402.8,"Ministry of Higher Education, Science, Research and Innovation",Department of Science Service
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,สำนักงานการวิจัยแห่งชาติ ,593.8,590.6,588.6,"Ministry of Higher Education, Science, Research and Innovation",National Research Council of Thailand
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,สำนักงานปรมาณูเพื่อสันติ ,401.1,391.8,390.7,"Ministry of Higher Education, Science, Research and Innovation",Office of Atoms for Peace
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,สถาบันวิทยาลัยชุมชน ,667.6,672.9,673.8,"Ministry of Higher Education, Science, Research and Innovation",Institute of Community Colleges
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยกาฬสินธุ์ ,383.1,382.0,380.4,"Ministry of Higher Education, Science, Research and Innovation",Kalasin University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยนครพนม ,636.7,630.5,628.3,"Ministry of Higher Education, Science, Research and Innovation",Nakhon Phanom University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยนราธิวาสราชนครินทร์ ,643.9,640.9,636.0,"Ministry of Higher Education, Science, Research and Innovation",Princess of Naradhiwas University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยนเรศวร ,2329.0,2326.9,2326.8,"Ministry of Higher Education, Science, Research and Innovation",Naresuan University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยมหาสารคาม ,1092.1,1158.5,1056.3,"Ministry of Higher Education, Science, Research and Innovation",Mahasarakham University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยรามคำแหง ,1125.3,1123.8,1123.5,"Ministry of Higher Education, Science, Research and Innovation",Ramkhamhaeng University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยสุโขทัยธรรมาธิราช ,848.2,696.2,691.9,"Ministry of Higher Education, Science, Research and Innovation",Sukhothai Thammathirat Open University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยอุบลราชธานี ,744.0,743.8,748.0,"Ministry of Higher Education, Science, Research and Innovation",Ubon Rachathani University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,สถาบันเทคโนโลยีปทุมวัน ,281.3,281.3,280.0,"Ministry of Higher Education, Science, Research and Innovation",Pathumwan Institute of Technology
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏกาญจนบุรี ,392.1,390.0,394.8,"Ministry of Higher Education, Science, Research and Innovation",Kanchanaburi Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏกำแพงเพชร ,433.6,427.0,429.4,"Ministry of Higher Education, Science, Research and Innovation",Kamphaeng Phet Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏจันทรเกษม ,443.5,438.3,438.0,"Ministry of Higher Education, Science, Research and Innovation",Chandrakasem Rajabhat University 
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏชัยภูมิ ,293.7,293.6,298.0,"Ministry of Higher Education, Science, Research and Innovation",Chaiyaphum Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเชียงราย ,602.9,602.9,604.1,"Ministry of Higher Education, Science, Research and Innovation",Chiang Rai Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเชียงใหม่ ,674.4,672.8,682.8,"Ministry of Higher Education, Science, Research and Innovation",Chiang Mai Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเทพสตรี ,409.8,409.9,412.3,"Ministry of Higher Education, Science, Research and Innovation",Thepsatri Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏธนบุรี ,346.6,344.6,401.5,"Ministry of Higher Education, Science, Research and Innovation",Dhonburi Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏนครปฐม ,534.1,532.7,536.6,"Ministry of Higher Education, Science, Research and Innovation",Nakhon Pathom Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏนครราชสีมา ,493.1,492.3,496.1,"Ministry of Higher Education, Science, Research and Innovation",Nakhon Ratchasima Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏนครศรีธรรมราช,430.0,430.1,458.2,"Ministry of Higher Education, Science, Research and Innovation",Nakhon Si Thammarat Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏนครสวรรค์ .…,636.4,634.8,651.0,"Ministry of Higher Education, Science, Research and Innovation",Nakhon Sawan Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,573.4,570.9,572.1,"Ministry of Higher Education, Science, Research and Innovation",Bansomdejchaopraya Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏบุรีรัมย์ ,483.1,482.2,485.2,"Ministry of Higher Education, Science, Research and Innovation",Buriram Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏพระนคร ,551.3,541.2,551.4,"Ministry of Higher Education, Science, Research and Innovation",Phranakhon Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,400.9,401.2,407.3,"Ministry of Higher Education, Science, Research and Innovation",Phranakhon Si Ayutthaya Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏพิบูลสงคราม ,533.5,532.6,585.6,"Ministry of Higher Education, Science, Research and Innovation",Pibulsongkram Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเพชรบุรี ,622.2,620.2,657.3,"Ministry of Higher Education, Science, Research and Innovation",Phetchaburi Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเพชรบูรณ์ ,376.5,375.4,386.5,"Ministry of Higher Education, Science, Research and Innovation",Phetchabun Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏภูเก็ต ,390.9,390.6,400.0,"Ministry of Higher Education, Science, Research and Innovation",Phuket Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏมหาสารคาม ,444.2,442.3,449.1,"Ministry of Higher Education, Science, Research and Innovation",Rajabhat Maha Sarakham University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏยะลา ,456.5,454.0,485.1,"Ministry of Higher Education, Science, Research and Innovation",Yala Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏร้อยเอ็ด ,268.2,268.2,279.4,"Ministry of Higher Education, Science, Research and Innovation",Roi Et Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏราชนครินทร์ ,380.0,379.7,386.5,"Ministry of Higher Education, Science, Research and Innovation",Rajabhat Rajanagarindra University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏรำไพพรรณี ,473.5,410.9,444.3,"Ministry of Higher Education, Science, Research and Innovation",Rambhai Barni Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏลำปาง ,435.9,435.5,450.4,"Ministry of Higher Education, Science, Research and Innovation",Lampang Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏเลย ,386.7,385.2,396.0,"Ministry of Higher Education, Science, Research and Innovation",Loei Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ในพระบรมราชูปถัมภ์ จังหวัดปทุมธานี,561.0,556.3,553.3,"Ministry of Higher Education, Science, Research and Innovation",Valaya Alongkorn Rajabhat University under the Rayal Patronage Pathumthani Province
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏศรีสะเกษ ,290.9,291.0,318.5,"Ministry of Higher Education, Science, Research and Innovation",Sisaket Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏสกลนคร ,472.4,473.0,497.0,"Ministry of Higher Education, Science, Research and Innovation",Sakon Nakhon Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏสงขลา ,539.5,536.4,548.0,"Ministry of Higher Education, Science, Research and Innovation",Songkhla Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏสวนสุนันทา ,769.9,764.1,767.9,"Ministry of Higher Education, Science, Research and Innovation",Suan Sunandha Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี ,703.5,700.8,706.4,"Ministry of Higher Education, Science, Research and Innovation",Suratthani Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏสุรินทร์ ,477.4,477.5,490.0,"Ministry of Higher Education, Science, Research and Innovation",Surindra Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง ,316.9,315.4,343.0,"Ministry of Higher Education, Science, Research and Innovation",Muban Chombueng Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏอุดรธานี ,563.5,562.7,600.2,"Ministry of Higher Education, Science, Research and Innovation",Udon Thani Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏอุตรดิตถ์ ,475.6,471.1,484.0,"Ministry of Higher Education, Science, Research and Innovation",Uttaradit Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยราชภัฏอุบลราชธานี ,558.1,558.1,580.4,"Ministry of Higher Education, Science, Research and Innovation",Ubon Ratchathani Rajabhat University
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล กรุงเทพ,587.5,587.5,607.9,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Krungthep
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล ตะวันออก,644.9,645.0,670.4,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Tawan-ok
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราาชมงคล ธัญบุรี,1331.6,1312.0,1388.3,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Thanyaburi
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล พระนคร,658.0,657.9,683.6,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Phra Nakhon
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล รัตนโกสินทร์,766.9,737.2,756.1,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Rattanakosin
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล ล้านนา,1058.0,1056.7,1134.3,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Lanna
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม ,มหาวิทยาลัยเทคโนโลยีราชมงคล ศรีวิชัย,832.3,828.1,848.1,"Ministry of Higher Education, Science, Research and Innovation",Rajamangala University of Technology Srivijaya
